stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,4.51,0.28,0,0.28,0,2.82,0,0.28,6.48,3.1,0,0,0,0.56,0,0,0.28,1.69,0,0,0
21Day,0.74,0.37,0.37,0.74,0.37,0,0,0.37,0,8.51,0,0.37,2.96,0,0,0,0.37,0,0.37,0,0,3.33,0,0,0,0,0,1.11,0,0,0,0,0,0
3Month,0,0.31,3.64,6.66,0.31,0,0.21,1.66,1.35,292.08,1.35,0.1,27.15,1.04,2.91,1.14,1.98,0.21,0.42,0.52,0.73,0.52,0,0.83,0.21,0,0.1,4.58,8.43,0,0.62,1.25,6.35,0.83
22Month,0.14,0.14,1.78,2.05,0.27,0,0.41,0.96,1.23,205.11,0.82,0.27,22.27,0,0.96,1.37,1.78,0.14,5.19,0.27,0.14,0,0,0.41,0.14,0.41,0.14,0.27,4.1,0.14,0,0,0,0.55
