stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,3,2,5,2,0,0,1,2,1,8,0,0,4,64,2,0,0,0,2
72hpf,0.28,0,0.56,0,0,0,0.56,0.28,0,1.41,0,0,3.1,7.89,0.28,0,0,0,0.28
21Day,0,0,0.37,0,0,0.37,0,0.37,0,0.74,0,0,0.37,1.48,0,0.74,0,0.37,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.21,0,0
22Month,0,0,0.41,0,0.68,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0.27,0,0
