stage,Epithelial_cell,Granulosa_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell
72hpf,0,0,0,1.69,0,0
21Day,0,0,0,1.11,0.37,0.37
3Month,0.1,0,0,0.21,0,0
22Month,0.14,0.14,0.14,0,0,0
