stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,1,5,1,0,1,8,2,41,2,1
72hpf,0,0,0,0.28,0,0.56,0.28,1.97,0,0
21Day,0.74,0.74,0,0,0,0.37,0,0.74,0.74,0
