stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,1.97,0,0,0,0.28,0.28,0.56,0,0.28,0,0,0
21Day,0,1.11,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,2.39,0.21,0.42,0.21,0.31,0.21,1.46,0.21,0,0.52,0.1,0,0,0.1,0.1,0.1,5.62,0.52
22Month,0,1.09,0.27,0.68,0,1.09,0,0,0.14,0,0,0,0.14,0,0.14,0,0,0.27,0.41
