stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,1.13,0,0,0,0.28,0,0,0.28,0,0,0,1.97,0,0,4.79,1.13,0.28,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0.74,0,7.4,0,0.37,0,0,0,0,1.11,0,0,0.37,7.03,0,0,4.81,4.44,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,4.07
3Month,0.52,8.32,1.66,29.85,0.1,0,2.08,0.83,0.21,5.3,47.74,0,11.65,54.19,8.01,13.21,1.35,7.28,37.13,3.02,0.52,0,0.94,0.94,0.1,0.1,0.94,0.42,0,1.87,0.1,5.3,0,0.1,1.87,1.35,87.58
22Month,0,3.28,0.41,6.01,0,0,0,0,0,1.23,30.2,0.41,10.25,6.97,2.87,4.37,0.14,0.96,6.7,0.96,0,0.27,1.09,0,0,0,0.14,0,0.14,0,0,0.55,0.41,0,0.14,0,4.1
