stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4,4,14,0,0,0,0,1,0,0,1,0,6,17,3,87,5,0,0,0
72hpf,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0.85,0,2.25,1.41,3.38,0.56,0,0,0
21Day,0.74,0,0.74,0,3.33,1.11,0,0,0,0.74,0,0,0,0.74,0,3.33,0,0,0,0
3Month,0,0,0.52,0,0,0.1,0.21,0,2.08,0.1,0,0,0.1,0.21,0,0,0,1.04,0.21,0.1
22Month,0,0,0,0,0,0,0.14,0,0.82,0,0,0,0.14,0,0,0,0,0,0,0
