stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,5,0,0,1,0,0,0,0,2,140,2,0,0,1,13,1,0,0,0,0,0
72hpf,0.85,2.25,0,0,0,0,0,0,0,0,40.59,0,0.28,0.28,2.54,1.41,0.85,0,0.28,0,0,0
21Day,0,6.29,0,0,0,0,0.74,0.74,0,0.37,0,0,0.74,0,0.74,0.37,0,0,0.37,0,0,0
3Month,0,3.74,0.1,0,0,0,0.21,0,0.1,0,0.31,0.21,0,0,0,0,0,0.42,0,0.1,0.1,0.21
22Month,0,0,0,0.14,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0,0.27,0,0,0,0
