stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,1,3,0,0,0,0,0,0,0,1,4,15,0,3,108,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0.28,0.28,0,0,0.28,0,0.85,0.56,0,1.69,0.28,10.99,7.61,1.13,0,0,0.85,0,0,0.28,0
21Day,0.37,0,0,0,0,0.74,0,0.37,0,0,0.37,0.37,4.07,0,2.96,2.59,0.37,0.37,0,0.74,0.37,0.37,0,0
3Month,0,0,0.31,0,0,0.52,0.1,0,0.1,0,0.21,0.1,0.21,0,0,0,0,0,0.31,0,0,0,0,0.21
