stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,2.25,0,0,0
21Day,0,0.74,0,0,0,0.37,0,0,1.11,0,0.37,0,0.37,0,0,0.37,0,1.11,0,0,0,0,0,0,0,0.37,2.22,0,0,0
3Month,0.1,1.35,0.21,1.14,0,35.89,0.1,0.1,24.96,0.1,0.42,0,0.62,0.21,0,0.1,1.46,0,0.1,0.31,0.21,0,0.52,0.83,0,0,0.31,0.21,1.35,0.21
22Month,0,5.74,0.55,0.14,0.68,5.19,0,0,15.71,0,0.41,0.41,0.27,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0.14,0
