stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0,4.23,0,0.28,0,1.41,0.85,0,0,3.1,0,0,0,0,0,0,0
21Day,1.48,0,0,2.22,0,0,0,0,0,0,1.11,0,0,0,0.37,12.58,0,0.74,0,1.85,0,0,0,2.96,0,0,0.37,0.37,0,0,0.74
3Month,0,0.21,0.1,6.14,0.1,0.31,0.94,0,1.04,1.04,0.62,0.52,0.1,3.22,0.52,3.43,0.42,0.31,0.1,0.62,0.21,0.31,0.1,0.1,0.21,0.73,0,0,0,0.21,1.56
22Month,0,0.14,0.14,1.64,0,0.14,1.09,0.14,3.14,1.09,0.41,0.14,0,0.68,0.68,3.01,0,0.14,0,0.27,0,0.14,0,0,0,0,0.14,0,0.14,0,0
