stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,2,0,5,0,0,0,5,0,0,3,20,3,0,0
72hpf,0.28,0,0.85,0,0,0,2.25,0,0,0.56,0.56,0.56,0,0
21Day,0,0,0.37,0,0,0,2.22,0,0.37,0.37,0,1.48,0,0
3Month,0,0.31,0,0.73,0.1,0,0.83,0.21,0,0,0,0,0.21,0
22Month,0,0,0.14,2.87,0.14,0.14,0.68,0,0,0,0,0,0,0.14
