stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,2.54,0.28,9.02,7.33,0,0,1.13,0,1.41,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0.37,0.37,0,0.74,7.4,0.74,5.92,3.33,0,0.37,1.85,0.37,0.37,0.37,1.85,0,0
3Month,0,0.21,0,0,0,0.31,0.1,0,0.1,0,0,0.31,0.1,0,0,0,0.1,0,0,0,0,0,0.21,0
22Month,0.14,0,0,0,0.14,0.68,0,0,0.27,0,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0.14
