stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Immune_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,0,0,3,0
72hpf,0,0,0,0,0,2.82,0,0
21Day,0.37,0.37,0,0,0,2.96,0,0
3Month,0,0,0.1,0.1,0.1,0,0,0.1
