stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0.85,0,0,0,0.85,0,0,0.85,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,7.4,0,2.22,0,0.74,0.37,1.11,0,0,0,1.11,0.74,0,0.74,0.37,0,0,0,0,0
3Month,0.1,0.31,0.62,1.98,0,0.31,1.14,0.1,120.35,0.94,2.18,0.21,0.52,0.73,0.94,0.21,0.21,0.21,0.73,0.1,0.52,0,1.35,0.31,0.21,0.1,0.31,0.62
22Month,0,0.14,0.14,0,0,0,0,0,7.79,0,2.19,0,0,0,0,0.41,0,0,0.14,0,0,0,0,0,0,0,0,0
