stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,5,0,0,0,0,0
72hpf,0,0,0,0,1.13,0,0.28,0,0,0
21Day,0,0,0,0,2.22,0,0,0,0,0.37
22Month,0.14,0.96,0.68,0.14,10.52,0.14,0,0.14,0.14,0
