stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0
3Month,0.1,0.1,0.1,0.1,0,0.83,0.21,0.1,0.1,0,0.1,0,0,0.1
22Month,0,0,0,0.27,0.68,3.96,0,0,0,0.55,0,0,0.14,0
