stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,3,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,121,0,0,0,0,20,359,0,0,22,0,0,0,0,0,0,0,0,0,0
72hpf,28.47,5.92,0,19.45,9.02,23.11,0,0,0,0,0.28,0,0,0,0,0.28,0,9.58,33.82,4.51,177,0,1.13,5.92,0,2230.55,284.38,1.97,4.23,120.35,0.28,0,0.85,45.66,1.69,3.1,4.23,0,0,0
21Day,33.67,2.59,1.48,41.07,5.18,20.35,0,2.59,0,0,0.74,0,0,2.59,0.74,8.88,2.59,1.85,11.84,5.18,332.62,0.37,0,18.5,0.37,588.28,149.47,1.48,3.7,90.65,21.46,0,4.07,21.46,2.22,9.99,3.7,0,0,2.59
3Month,0.1,0.31,0.21,5.51,0.52,0,0.31,0,0.31,0.21,1.87,0,0,4.47,1.04,0.1,1.46,0.31,1.77,1.04,33.81,7.8,0,0.94,0.62,2.91,2.18,0.31,0,0.1,0.52,0.1,9.15,1.14,0,0,0.73,0.42,0.83,0.83
22Month,0.27,2.19,0.41,3.96,0.14,0,0.41,0,0.27,0.27,1.78,0.27,0,10.8,1.5,0.96,1.5,0.14,0.55,1.64,35.26,2.19,0.68,2.19,0.14,2.87,1.23,0.55,0.55,0.82,0,0,16.26,1.91,0.27,0,0.68,0,0,0.27
