stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.41,0,2.54,1.13,0.28,0,0,0,0,0,0,0,0,0,1.97,8.17,0,7.89,0,0,0.28,0,2.82,3.95,0,0.28,0,5.36,0,0,1.69,1.97,0,0,0
21Day,2.96,1.48,0.37,17.02,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0.37,4.44,0.37,20.72,0,0,1.11,0,1.11,5.18,0.37,0,0,8.14,1.48,0.74,0.74,1.48,0,0,0.37
3Month,0,1.66,0.42,14.15,0.1,0,0.1,0.1,1.25,0.52,0,7.8,0.31,0.1,6.87,0.42,4.78,1.25,5.82,2.18,0,0.31,1.25,0.52,0.21,0.21,0.1,0,0.31,0.31,8.22,0,0,1.14,0.73,0.52
22Month,0.14,1.37,0.82,4.92,0,0,0,0,0.41,0.14,3.01,42.77,0.41,0,11.07,0,1.64,0.41,9.84,0,0.27,0.27,0.27,0.14,0,0.41,0.14,0.14,0.55,0,2.73,0.68,0.27,0,0,0.14
