stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,1.13,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0
3Month,0,0.62,0.21,1.14,0.21,0.94,0.21,0,0,0.1,1.04,0.31,0,0.1,0.1,0,0,0.62,0.42
22Month,0.14,0,0,2.32,0.27,0,0,0.27,0.14,0,0.68,0.14,0,0.14,0.27,0.14,0.68,11.62,0
