stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,6,2,5,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0.56,0,0,0.56,0,0,1.13,0,0,0,0,0
21Day,1.85,0.37,0.37,0,0,0,0,0.74,0.37,0.37,0,0,0.37,0.37,0.37,0.37,0,0,0.37
3Month,0.62,0,0,0.21,0.1,0.31,0.31,0,0.83,0.1,0.42,0,0.1,0,0,0,0.21,0.21,0.62
22Month,0.27,0,0,0.27,0.14,0.14,0,0,0.41,0,0,0,0,0,0,0,0,0.14,0
