stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0.28,6.2,5.07,0,1.13,0,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,4.44,0,0,6.29,0.74,1.48,0,0.37,0,0,0.74,0,0,0,12.95,0,1.48,2.22,12.58,21.83,0,28.86,0,1.48,0.74,0,0,7.77,0.74,0,1.11,0,0,22.2
3Month,1.56,0.94,0.1,8.63,0,0,0.31,1.35,0.31,0.52,2.08,0.1,4.06,4.58,2.29,1.04,0.52,7.28,7.7,9.47,0.52,6.24,0.73,0.62,0.21,0.42,0,0.94,0.62,1.04,0,0.31,0.42,101.62
22Month,0.68,0.82,0,0.82,0,0,0.27,0.14,0.14,0,0.96,2.6,5.88,0.68,0.68,0.27,0.14,0.82,7.52,2.46,0,3.96,0,0,0,0,0.14,0.27,0.27,0.14,0,0,0,19.54
