stage,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
72hpf,0,0,0.28,0,0,1.97,1.13,0
21Day,0.37,0.37,0,0.37,0.37,0,0,0
3Month,0.21,0,0,0.73,0,0,0,0.21
