stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,1.97,0,0,0,0.28,1.69,3.38,0,0,2.82,0,0,0.56,0.85,0,0,0
21Day,0,0,0,4.07,2.96,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,1.85,0,3.7,0,0,0.74,0,1.48,1.85,1.48,0,3.33,0.37,0,0,0.37,0,0,0
3Month,0.1,0.52,0,11.34,0.1,0,0,0.1,0.94,1.04,0,0,18.62,0.73,0.1,3.02,1.25,1.77,1.25,2.29,0,0,0.52,0.62,0.42,0,3.64,0,0.1,1.04,10.92,0,0.31,0.52,206.89,1.14
22Month,0,1.78,0.41,9.57,0.14,0,0.27,0,1.37,1.37,10.52,0,33.07,0.41,0.14,9.02,0.68,0.41,0.55,1.09,0.27,2.73,0.41,0.14,0,0,1.91,0.14,0,0.14,2.6,0.55,0.27,0.14,0.68,0.14
