stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,1,0
72hpf,0,0,0,0,0.85,0.28,0
21Day,0.37,0.37,0,0,0,0,0.37
22Month,0,0,0.55,0.14,0,0,0
