stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,4.51,0.56,0,0.28,0,0,0,0.28,0
21Day,0.74,0.37,0,0.37,0,0.37,0,0.37,1.85,1.11,0.37,0,0,0,0.37,0,0
3Month,3.02,0,0,0.1,0.1,0,0.21,0,3.12,1.35,0,0,0,0.21,0,0,0.31
22Month,0.14,0,0.14,1.23,0,0,0,0,0.27,0.82,0,0,0.14,0,0,0,0.41
