stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,2.54,0,0,0,0.28,0.28,0,0
21Day,0,0,0.37,0.74,0.37,0,0,0,0,0,0,0,0,0.37,0.37,4.07,0.37,0,0,0,0,0,0
3Month,0,0.1,0.52,0,0,0.1,0,1.14,0,0,0,0,0,0.1,0.31,0,0,0,0,0.1,0,3.95,0.1
22Month,0.14,0,0.14,0,0,0.27,2.19,4.1,0.27,0.14,0.27,0.14,0,0.41,0.27,0.14,0,0.41,0.14,0,0,0,0
