stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8,3,0,66,2,0,0,0,0,0,0,0,2,2,1,227,0,56,580,0,0,17,0,0,0,0,3,0,0
72hpf,4.51,1.13,0,3.66,0.85,8.74,0,0,0.28,0,0,0,1.97,11.56,0.28,112.18,2.54,181.79,42,0.28,0.28,20.86,0,0,6.76,0.56,0.28,0,0
21Day,2.22,0,0,2.22,0.37,3.33,0.37,0,0,0,0.37,0.37,0,0.37,0.74,33.67,3.7,14.06,4.44,0,1.11,4.07,1.11,0.37,0.37,0.37,0.74,0,0
3Month,0,0,0.1,1.56,0,0,0.21,0.1,0.21,0.21,0,0.31,0,0,0.1,0.94,0.1,0.31,0,0,0,0,0,1.66,0,0,0,0.21,0.21
22Month,0,0.14,0,0.14,0,0,0,0,0,1.23,0,0,0,0,0,0.27,0,0,0,0,0,0,0.14,1.91,0,0,0,0,0
