stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,4,0,0,0,0,0,5,0,0,0,0,1,1,2,6,0,0,0,4,49,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,1.69,2.25,0,0.28,0,0,0,0,0,0,0
21Day,0.74,0,0,0,2.96,0.37,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0.37,0,0,0.37,0.37,1.11,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,0.52,0,0,0.1,0.52,0,0,13.21,0.1,0,1.56,0.1,0.42,0.31,0.31,0.21,0.1,0,0,0,0.1,0,0.52,0.94,0,0,0.21,0.31,0.21
22Month,0.14,0.14,0,0.27,0,0,0,0.82,0.14,0,5.19,0,0.14,1.23,0,0,0.82,2.05,0.14,0.27,0,0,0.14,0,0,0,0.41,0.14,0,0,0,0
