stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,6.76,0,0.28,0,0,0,0,0,0,0,0,0,14.94,0,2.54,0,0,0,0,7.89,0.56,0,0,0,0,0,0.28,2.54,1.41,0,0
21Day,0.37,0,7.4,0,1.11,0,0,0,0,0,0,0.37,0,0,18.87,0.37,3.7,0,0,0.74,0,1.48,1.11,0,0,1.11,0.37,0,0.74,5.55,32.56,0,0
3Month,0,0.1,2.81,0,0,0,0.21,0.31,0,2.7,0.21,0.1,0.83,0,19.24,0.21,0.94,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0.62,0,0,0,0.31,0.42
22Month,0,0.14,0.41,0.14,0,0.27,0,1.5,0.27,6.83,0.41,0.27,0.96,0.14,4.65,0.41,0.68,0.14,0.41,0.14,0,0.14,0,0.14,0.14,0,0,0.14,0,7.11,0,0,0.27
