stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0.28,0.28,0.28,0,0,0,0.28,0.28,0.28,23.39,11.56,0.28,0.85,7.61
21Day,0.37,1.11,0,0.74,0,0.37,0.37,0,0.37,0.37,14.43,5.18,0,0,1.48
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0
