stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,6.48,0.85,0,0.28,0.28,0,0.28,0,0
21Day,0,0,0,0,0,0.37,0.37,0,0,0,4.44,0,0,0,0,0,0.37,0,0.74
3Month,0,0.1,0.1,0.1,0.1,0.62,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.31,0,0.1,0.1
22Month,0,0,0,0,0.82,0.27,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0
