stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,7,4,0,0,0,1,0,0,0,0,3,13,1,15,0,0,0,0,2,24,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,10.99,0.28,0,0,0,0,0,0,0,0.28,11.27,0,3.95,0,0,0,0,11.56,1.13,0.28,3.1,0,0,0.85,0.28,0.28,0.28,0,0,0
21Day,0.37,0,0,2.22,13.32,0.37,0.37,0,0,0,0,0,0,0,2.96,0.37,3.33,0,0.37,0,0.37,4.07,0.74,0,0.74,0.37,0.37,0.37,0,0,0,0,0,0
3Month,0,0,0.1,1.77,4.26,0,0.1,0,0,1.04,0.21,0,0.42,0.21,0.73,0.1,1.04,0.42,0,0.21,0.1,0.1,0.1,0,0,0.21,7.07,0.1,0,0,0.1,0.21,0.42,1.77
22Month,0,0.14,0,1.09,1.37,0,0,0.14,0,3.83,0,0.14,0.14,0.14,0.41,0.55,0.96,0,0,0,0,0,0,0,0,0,4.78,0.27,0,0,0,0,0,0.82
