stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,2
72hpf,0,0,0,0.28,0.85,0
21Day,0.37,0,0,0,0,0
22Month,0,0.41,0.14,0,0,0
