stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0,0,0,6.2,0.56,0.85,0.28,0,0.28,2.25,0,0.56,0.85,0.28,0.28,0,0,0
21Day,0,2.59,0.37,9.62,0,1.85,0,1.11,0.74,0,0,1.48,0,0.37,0,0.37,2.59,0.74,4.44,0,0.37,2.22,0,26.27,1.48,3.33,0,0,1.85,37.37,0.37,0.37,4.07,5.55,0.37,0,0,0
3Month,0.1,3.74,0.94,14.04,0.1,0,0.1,25.9,0.62,0,0,8.95,1.35,0.1,1.25,2.29,1.04,0.62,1.66,0.42,0,1.77,0.21,0.42,0,3.85,0,0,0,8.11,3.95,0.62,0.1,0,0.21,0.1,31.31,0.73
22Month,0,2.32,1.78,6.97,0.14,0,0.14,9.98,0,1.09,0,32.66,0.96,0.14,1.09,0.96,0,0.55,2.32,0,0.27,0.82,0,0,0.14,3.69,0,0.27,0.14,1.37,1.37,0.82,1.37,0,0,0,0.14,0.41
