stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,3,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0.28,0,0.28,2.82,1.13,0,0.28,1.13,0,0
21Day,1.11,0,0,1.11,0.37,0,0.37,0,0,4.44,0.37,0.37,0,0,0,0.37
3Month,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0.27,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0
