stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,1,5,0,1,0,0
72hpf,0.28,0,0,0,0.56,0,0,34.39,2.25,0.28,0,0,0
21Day,0.37,0.37,1.85,0.37,0.37,0,1.48,22.94,1.11,0,0,0.37,0.74
3Month,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0
