stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.56,0,0,0,0,0,0.85,0,0,0,4.51,2.25,0,0.28,2.25,0,0.28,0
21Day,1.11,0,0.37,0,1.48,0.37,0,0,0,0.37,0.37,0.37,1.85,0,0.74,0.37,0.37,0,0.37,0,0,0
3Month,0,0.1,0.21,0.1,0,0,0.1,0,0.1,0,0.31,0,0.21,0.1,0,0,0,0,0,0.21,0,0.52
22Month,0,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
