stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
72hpf,0.28,0.85,0,0,0,0,0.56,0.28,0,0.28,0,0,0,0,0
21Day,0,1.48,0.37,0,0,0,0,0.74,0,0,0,0.37,0,0,0
3Month,0,0.21,0,0,0.1,0.1,0,0.31,0.1,0,0.1,0,0.1,0.1,0.1
22Month,0,0,0,0.27,1.37,0.55,0,0,0,0,0,0,0,0,0
