stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,1,0,0,0,0
72hpf,0.28,1.41,0,0.56,0.28,0.28,0.28
21Day,0,1.11,0,0,0,0,0.74
3Month,0,0.1,0,0.1,0,0,0
