stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,19.73,0,0,0,0.85,0,0,0,0,0,0,0,0,0.28,0,2.25,0,0.28,0,0.85,0.56,0,0,0.85,0,0,0,0,0
21Day,18.87,0,0.37,0,0.37,1.85,0,1.11,0,0.74,0,0.37,0,0.37,0,7.03,0,0,0,2.96,0.37,1.48,0.37,0.74,0,0.37,0.37,0,0
3Month,0.21,0,0.1,0.1,0.1,0,0,0.42,0.1,1.25,0,0.52,0.1,0.1,0.21,0.21,0,0,8.63,0.42,0,1.04,0,0,0.1,0,0,0.21,0.1
22Month,0,0.14,0,0.41,0,0,0.14,0.14,0.41,2.32,0.27,0.27,0.14,0,0.14,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0,0
