stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,4,0,1,0,0,0,0,2,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0
21Day,6.29,0,0,0,0,0.37,0.37,0,0,0.37,0
3Month,0.52,0,0.21,0,0,0.1,0,0,0.1,0,0.1
22Month,0,0.14,0.14,0.41,0.14,0,0.14,0,0,0,0.27
