stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,4.81,0.37,9.62,4.81,0,1.48,0,2.96,0.74,5.18,1.11,0,3.33,1.85,22.94,1.48,0.37,13.69,8.51,0.37,0.74,6.66,2.22,0,1.85,0.74,1.85,1.11,0,1.11
3Month,0,0,0.31,0,0.1,0,0.1,0.21,0.21,0,0.21,0.21,0,0,1.04,0,0.1,0,0,0,0,0,0,0.21,0,0,0,0,5.3,0.1
