stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.85,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.31,0,0.21,0,0.21,0.21,0,0,0.1,0,0,0,0.1
22Month,0,0,0.14,0,0.41,0,0,0.14,0.14,0,0.14,0,0.14,0
