stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,4,0,0,0,0,0,0,0,2,0,0,1,0,0,2,3,2,0,7,9,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.85,1.13,0,0,0,0,0.28,0,0
21Day,1.11,0.37,0,0.74,0.37,0.37,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0.74,0,0.37,0.37,0.37,0.37,0.37,0
3Month,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0.21,0,0.21,0,0,0,0.1,0,0,0.21,0,0,0.21
22Month,0,0.27,0.27,0.41,0,0,0.27,1.91,0,0.55,0.27,1.23,1.09,0.14,0.27,2.19,0.41,0.14,0,0,0.27,0,0,0,0.14,0,0.27
