stage,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0.56,0.28,3.66,0.28,0,0
21Day,0,0,0,0.37,0,2.59,0,0,0
3Month,0.1,0.1,0.1,0,0.1,0.21,0,0.42,0.52
22Month,0,0,0,0,0,0,0,0.68,0.14
