stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,47,0,0,0,0,0,0,0
72hpf,0,0.28,1.41,0,0,0,0,0,0,0.85,0.85,0,2.25,0.28,9.02,6.48,0,0.85,0,0,0.85,0,0
21Day,0.37,0,2.96,0.37,0.74,0.37,0,0.37,0.37,0.37,0.74,0,2.22,0,3.33,3.33,0,1.11,0.37,0,1.11,0,0
3Month,0,0,0.42,0,0,0.31,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0.31,0,0.42,0.1
22Month,0,0.14,0,0,0,0.82,0,0.14,0,0,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0
