stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Primordial_germ_cell,T_cell
21Day,0.37,0,0,0,0,0.37,0,0,0
3Month,0.31,0.1,0.1,0,0.1,0,0,0,0
22Month,1.23,0.14,0,0.41,0.68,0,0.27,0.14,0.27
