stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,2,1
72hpf,0,0,0,0,0,0,1.97,0
21Day,0.37,0,0,0,0.37,0,0.74,0
3Month,0,0.21,0.1,0.1,0.52,0.31,0.21,0
22Month,0,0,0,0.27,0.14,0,0,0
