stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Granulosa.cell,Hatching.gland,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Pancreatic.macrophage,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,0,0,0,21,0,0,0,1,0,2,0,1,0,0,0,0,3,48,221,1,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.40924028001612,0.281848056003223,0,31.566982272361,0.281848056003223,0.84554416800967,0,0,0,4.50956889605157,0,0,0.281848056003223,0,1.40924028001612,0.281848056003223,7.04620140008058,198.984727538276,24.8026289282836,1.40924028001612,0,0,0,0.563696112006446,11.5557702961322,5.07326500805802,0.281848056003223,0,0,2.25478444802579,0,0,0.281848056003223,0.84554416800967,0.281848056003223,0.281848056003223,0.281848056003223,0,0,0
21Day,4.06985546290711,0.369986860264282,2.58990802184998,162.054244795756,0.369986860264282,5.17981604369995,0,1.84993430132141,0.369986860264282,12.9495401092499,0,0,4.43984232317139,13.6895138297784,17.019395572157,26.6390539390283,4.43984232317139,72.147437751535,39.5885940482782,7.02975034502136,0,0,2.21992116158569,0,5.54980290396423,4.06985546290711,0.369986860264282,0,0,1.47994744105713,5.17981604369995,0,0,0.739973720528564,1.47994744105713,2.58990802184998,0,0,0,7.39973720528565
3Month,0.312051019934018,1.76828911295943,2.08034013289345,230.813737744529,0,0,1.35222108638074,0,2.49640815947214,75.932414850611,0,0,14.7704149435435,243.191761535245,2.49640815947214,104.641108684541,5.3048673388783,104.121023651317,76.1404488639004,5.3048673388783,1.35222108638074,0.104017006644673,1.24820407973607,1.56025509967009,1.24820407973607,0,0.832136053157381,0.312051019934018,0,0.208034013289345,3.32854421262952,1.35222108638074,7.90529250499512,0.208034013289345,0.104017006644673,0,0.208034013289345,4.36871427907625,4.88879931229961,15.1864829701222
22Month,0.136649431988133,1.2298448878932,3.68953466367959,45.9142091480127,0,0,2.59633920777453,0.136649431988133,0.819896591928799,198.005026950805,0.546597727952532,0,59.579152346826,104.400166038934,11.7518511509794,82.8095557848087,0.956546023916932,23.5037023019589,134.189742212347,2.8696380717508,0,1.50314375186946,0.546597727952532,0,0.683247159940666,0,0.546597727952532,1.36649431988133,0.273298863976266,0,0.546597727952532,0.136649431988133,6.01257500747786,0.409948295964399,0.409948295964399,0,0,0,0,7.51571875934732
