stage,Epithelial_cell,Granulocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell
72hpf,0,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0.74
22Month,0.14,0.14,0.14,0.41,0.14,0,0.14,0
