stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,0,0,0,0,0,0,0,0.28,0,0.85,1.41,0,4.51,0,0,0,6.76,14.37,0,0.28,0,2.82,0,0,1.13,0,0,0
21Day,0.37,0,0,1.85,2.22,2.22,0,0,0,0,0,0.74,0,0,0,0.37,2.59,0,0,0.37,2.96,6.29,0,0,0,0,0,0,0.74,0,0,0
3Month,0.1,0.1,0.21,2.7,0,0.42,0.31,1.14,0,4.47,0.94,0.21,2.18,0.21,0.83,1.14,0.62,0.42,0,0.31,0.21,0.31,0.1,0,0,0,0.42,8.43,0,0.42,3.85,1.77
22Month,0,0.41,0.55,1.09,0,0.55,0.14,1.5,0.27,13.94,0.41,0.41,3.14,0.14,0,1.78,2.05,0,0.14,0,0,0,0,0,0.14,0,0,0.68,0.14,0.27,0,1.09
