stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.1,11.13,0.21,0.1,0.31,0.42,2.91,0.62,1.04,0.42,0.31,0.83,0.42,0.21,0.31,0.21,0.1,0.21,0.1,0.1,0.83,73.54,0.1,0.1,15.91,0.52
22Month,0,0,0.41,0.14,0,0,0,2.73,0.68,0.68,0,0,0.14,1.64,0,0,0,0.14,0,0,0,0,13.53,0.14,0,0.14,0.14
