stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell
21Day,0.74,0,0,0,0,0,0.37,0,0,0
3Month,2.7,0.1,0.73,0.21,1.46,0.1,0.1,0.1,0.1,0.62
22Month,0.41,0.14,0.27,0,0,0.14,0,0,0,0
