stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,0.56,0.28,0,0.56,0,0.56,0,0,0,0.28
21Day,0.37,0.37,0,0,0.37,0,0,0.74,0.37,0,0
3Month,0,0.1,0,0.1,0,0.21,0.1,0,0,0.1,0
