stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0.85,1.97,0.28,1.97,0,0,0.28,15.78,4.79,0.28,0,2.82,0.56,0,1.13,0,0,0
21Day,0.74,0.37,0.37,8.14,0.74,2.96,0,0.74,0,0,0,0,0,0,0.37,0.37,0.37,4.81,1.48,2.59,0,0.74,0,5.18,2.96,0,0,1.48,0.37,0,0.37,0,0,1.11
3Month,0,0.42,0.21,7.91,0.1,0,0.21,0.1,0.73,1.98,0,0,4.26,3.95,0.52,1.35,0.21,2.5,4.78,1.66,0.62,0.42,0.52,0.1,0,0.42,0.1,0,0.52,0.42,0.1,0.52,0.62,1.14
22Month,0,0.27,0.68,1.91,0.14,0,0,0.14,0.27,2.73,0.27,0,8.75,0.55,0,0.82,0.14,0.41,2.87,1.23,0,0.14,0,0.27,0,0.41,0.14,0.14,0.27,0.41,0,0.14,0,0.55
