stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,2,1,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,7.33,0,0.28,0,0,0,0.28,0,0,0,0,0,28.75,29.31,1.13,0.28,0,0.28,0,0.28,7.05,3.38,0.28,0,1.13,0,0,0.56,0,0,0.28,0,0
21Day,1.11,0.37,0.37,15.91,1.11,2.22,0,0.37,0,0.37,0,1.85,0,2.59,1.11,35.15,33.3,3.33,8.88,0,0.37,1.48,0,12.58,5.55,0,0,1.48,2.22,0,0.74,0.74,2.59,0,0,3.7
3Month,0.1,0.1,0.52,7.91,0.1,0,0.21,0,4.58,1.25,0,2.7,1.87,0.1,0.94,0.73,1.98,8.63,7.7,0.21,0,0.31,0,0.83,0,0.52,0,13.73,0.31,1.56,0,0,0,0,0.21,11.44
22Month,0,0.68,15.99,32.25,0,0,0.41,0.14,8.88,3.55,0.27,9.7,2.19,0.14,3.69,1.23,3.69,13.25,1.91,0.14,0.27,1.5,0,0.55,0,0.68,0.14,7.38,0.14,0.55,0,0,0,0,0.82,3.01
