stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,1.13,0.56,1.69,0.85,1.97,0,0,0.28,0,7.05,1.97,0,0.28,0,2.54,0,0,0.56,0,0.85,0,0,0
21Day,0.37,0.37,0,5.55,0,1.48,0,0,0,0.37,0,0,0,0.37,0,0,0.74,0.37,4.44,0,0,0.37,0,3.7,1.11,0,0,0,1.85,0,0.37,0.74,0.37,0.37,0,0,0.37
3Month,0,0.1,0.31,2.08,0,0,0.1,0,0.62,0.42,0,9.78,0.1,0,1.14,0.31,0.42,1.14,0.21,0.52,0,0,0.1,0.73,0.1,0.1,0,0,0.1,0.1,2.6,0,0,0,0.21,0.73,0.21
22Month,0.55,1.23,0,2.19,0,0,0,0.14,0,2.6,0.55,25.14,0.96,0.14,0.55,0,0.41,1.5,1.78,0,0.82,0,0,0.68,0,0,0.14,0.27,0.27,0,1.23,0.14,0,0,0,0,0.27
