stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,2.22,0.37,0,0.37,0.37,0,0,0,0
3Month,0.21,0.42,0.1,0.21,0.62,0,0.1,0.94,0.42,0.1,0.31,0.1,0,0.1,0.21,0,0,0.21,2.91,29.64,0.31
22Month,0,0,0,0,2.32,0.14,0,0.14,0,0,0,0,0,0,0,0.14,0,0.14,0.14,0,0
