stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,4,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0.74,0,0,0.37,0,0.37,0,0,0
3Month,0.1,0,0.1,0,0.1,0,0.1,0.1,0,0,0,0.1
22Month,0,0.27,0.55,0,0,0.14,0,0,0,0,0.14,0
