stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21Day,0.37,0,0.37,0.37,0.37,0,0,0,3.7,0,0.74,0.37,0,0,0.37,0.37,0,0,0,2.59
3Month,0,0.42,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,0.21,0.1,0.83
22Month,0,0.14,0,0,0.14,0,1.37,0,0.14,0.14,0.14,0,0.14,0.14,0,0,0,0,0,1.37
