stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0.28,0,0,0,0,0,0,2.54,0,0
21Day,0,0.37,0,0,0,0,0,1.11,0,0
22Month,0,0.14,0.27,0.96,0.27,0.27,0.14,0,0.27,0.14
