stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.56,0.28,0.28,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0.85,0,0,0.56,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,1.11,0,0,2.59,0,0,0,0,0,0,0,0.37,0,0,0,0,1.11,0,1.11,0,0,0.37,0,0.74,0.37,0,0,0,0.74,0.37,0,0,0.37,0,0,0
3Month,0.31,0,0.52,2.18,0.21,0,0.42,0,0.94,0.62,0,145.21,1.87,0.1,1.87,0.1,0.52,0.73,1.98,0.31,0.1,0.42,0.73,0.1,0,0.21,0.1,0,0.1,1.66,1.98,0.1,0,0.1,0.21,1.14
22Month,0.14,0.14,0.14,1.37,0,0,0,0.14,0.14,0.41,0.41,78.85,0.14,0,1.23,0,0.14,0.55,5.88,0.27,1.64,0.27,0,0.27,0,0.14,0,0.68,0,0.41,1.64,0.14,0.14,0,0.14,0.27
