stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0.37,0,0,0,0.74,0,0,2.59,1.11,0.37,0,0,0.37,0,0,0,0
3Month,0,0.21,0.1,0,0.1,0.1,0.31,0.42,0.1,0,0.21,0.21,0,0.1,0,0,0,0.21,0.52,0,0,0.1,1.35,0.1
22Month,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0
